frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
81,2710.6,,,,,,,,,,17,688,621,,,,,,,,,,,,,,,
82,2742.8,,,,,,,,,,18,689,617,,,,,,,,,,,,,,,
83,2775.5,,,,,,,,,,17,688,619,,,,,,,,,,,,,,,
84,2810.8,,,,,,,,,,17,688,619,,,,,,,,,,,,,,,
85,2842.8,,,,,,,,,,17,688,618,,,,,,,,,,,,,,,
86,2874.7,,,,,,,,,,17,687,619,,,,,,,,,,,,,,,
87,2910.7,,,,,,,,,,17,687,619,,,,,,,,,,,,,,,
88,2942.8,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
89,2975.1,,,,,,,,,,17,687,617,,,,,,,,,,,,,,,
90,3010.8,,,,,,,,,,18,687,615,,,,,,,,,,,,,,,
91,3043.7,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
92,3075.1,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
93,3110.8,,,,,,,,,,18,687,615,,,,,,,,,,,,,,,
94,3142.7,,,,,,,,,,18,687,615,,,,,,,,,,,,,,,
95,3175.8,,,,,,,,,,17,688,615,,,,,,,,,,,,,,,
96,3210.8,,,,,,,,,,18,688,613,,,,,,,,,,,,,,,
97,3242.9,,,,,,,,,,17,688,615,,,,,,,,,,,,,,,
98,3275.5,,,,,,,,,,17,688,615,,,,,,,,,,,,,,,
99,3310.7,,,,,,,,,,17,688,615,,,,,,,,,,,,,,,
100,3342.9,,,,,,,,,,17,689,615,,,,,,,,,,,,,,,
101,3375.8,,,,,,,,,,18,688,615,,,,,,,,,,,,,,,
102,3411.8,,,,,,,,,,17,689,615,,,,,,,,,,,,,,,
103,3442.6,,,,,,,,,,18,689,613,,,,,,,,,,,,,,,
104,3474.9,,,,,,,,,,17,688,615,,,,,,,,,,,,,,,
105,3511.1,,,,,,,,,,17,688,615,,,,,,,,,,,,,,,
106,3542.8,,,,,,,,,,17,688,616,,,,,,,,,,,,,,,
107,3574.8,,,,,,,,,,17,688,616,,,,,,,,,,,,,,,
108,3611.1,,,,,,,,,,17,688,617,,,,,,,,,,,,,,,
109,3643.0,,,,,,,,,,18,688,614,,,,,,,,,,,,,,,
110,3674.8,,,,,,,,,,17,688,614,,,,,,,,,,,,,,,
111,3710.6,,,,,,,,,,17,687,618,,,,,,,,,,,,,,,
112,3742.7,,,,,,,,,,17,688,615,,,,,,,,,,,,,,,
113,3774.9,,,,,,,,,,17,686,617,,,,,,,,,,,,,,,
114,3810.7,,,,,,,,,,17,687,619,,,,,,,,,,,,,,,
115,3842.9,,,,,,,,,,17,687,619,,,,,,,,,,,,,,,
116,3875.2,,,,,,,,,,17,687,619,,,,,,,,,,,,,,,
117,3910.6,,,,,,,,,,17,687,620,,,,,,,,,,,,,,,
118,3942.8,,,,,,,,,,18,688,618,,,,,,,,,,,,,,,
119,3975.7,,,,,,,,,,18,688,620,,,,,,,,,,,,,,,
120,4011.0,,,,,,,,,,17,688,619,,,,,,,,,,,,,,,
121,4043.0,,,,,,,,,,18,688,618,,,,,,,,,,,,,,,
122,4075.2,,,,,,,,,,17,688,620,,,,,,,,,,,,,,,
123,4110.9,,,,,,,,,,17,689,620,,,,,,,,,,,,,,,
124,4143.2,,,,,,,,,,17,688,619,,,,,,,,,,,,,,,
125,4175.0,,,,,,,,,,17,689,619,,,,,,,,,,,,,,,
126,4210.9,,,,,,,,,,17,689,618,,,,,,,,,,,,,,,
127,4244.0,,,,,,,,,,17,689,619,,,,,,,,,,,,,,,
128,4274.9,,,,,,,,,,17,689,619,,,,,,,,,,,,,,,
129,4311.8,,,,,,,,,,18,689,619,,,,,,,,,,,,,,,
130,4342.7,,,,,,,,,,17,688,619,,,,,,,,,,,,,,,
131,4374.8,,,,,,,,,,17,688,617,,,,,,,,,,,,,,,
132,4410.6,,,,,,,,,,17,688,618,,,,,,,,,,,,,,,
133,4442.9,,,,,,,,,,18,687,616,,,,,,,,,,,,,,,
134,4474.9,,,,,,,,,,17,688,616,,,,,,,,,,,,,,,
135,4510.8,,,,,,,,,,18,687,615,,,,,,,,,,,,,,,
136,4542.6,,,,,,,,,,18,687,617,,,,,,,,,,,,,,,
137,4574.8,,,,,,,,,,17,687,616,,,,,,,,,,,,,,,
138,4611.2,,,,,,,,,,18,687,615,,,,,,,,,,,,,,,
139,4643.1,,,,,,,,,,17,687,615,,,,,,,,,,,,,,,
140,4675.1,,,,,,,,,,17,687,616,,,,,,,,,,,,,,,
141,4713.3,,,,,,,,,,17,687,614,,,,,,,,,,,,,,,
142,4742.8,,,,,,,,,,17,687,614,,,,,,,,,,,,,,,
