frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
113,3775.1,13,577,611,,,,,,,,,,,,,,,
114,3811.2,13,577,611,,,,,,,,,,,,,,,
115,3843.1,13,577,611,,,,,,,,,,,,,,,
116,3875.5,13,577,612,,,,,,,,,,,,,,,
117,3911.3,13,581,612,,,,,,,,,,,,,,,
118,3943.7,13,581,611,,,,,,,,,,,,,,,
119,3975.2,13,583,612,,,,,,,,,,,,,,,
120,4011.0,12,584,611,,,,,,,,,,,,,,,
121,4042.9,11,584,611,,,,,,,,,,,,,,,
122,4075.3,12,585,612,,,,,,,,,,,,,,,
123,4111.8,12,585,612,,,,,,,,,,,,,,,
124,4143.9,11,583,612,,,,,,,,,,,,,,,
125,4175.4,12,584,612,,,,,,,,,,,,,,,
126,4211.1,13,582,614,,,,,,,,,,,,,,,
127,4243.1,13,581,614,,,,,,,,,,,,,,,
128,4275.2,13,579,614,,,,,,,,,,,,,,,
129,4310.9,13,578,613,,,,,,,,,,,,,,,
130,4344.2,12,578,613,,,,,,,,,,,,,,,
131,4375.5,11,577,612,,,,,,,,,,,,,,,
132,4412.2,12,576,614,,,,,,,,,,,,,,,
133,4443.4,13,578,612,,,,,,,,,,,,,,,
134,4475.2,12,578,613,,,,,,,,,,,,,,,
135,4511.2,13,580,612,,,,,,,,,,,,,,,
136,4543.3,12,580,612,,,,,,,,,,,,,,,
137,4575.2,12,582,611,,,,,,,,,,,,,,,
138,4611.4,12,582,611,,,,,,,,,,,,,,,
139,4645.4,9,585,609,,,,,,,,,,,,,,,
140,4678.1,12,585,610,,,,,,,,,,,,,,,
141,4711.2,10,585,608,,,,,,,,,,,,,,,
142,4745.3,11,584,609,,,,,,,,,,,,,,,
143,4775.0,13,584,611,,,,,,,,,,,,,,,
144,4813.4,10,584,607,,,,,,,,,,,,,,,
145,4843.9,12,581,610,,,,,,,,,,,,,,,
146,4874.9,12,580,609,,,,,,,,,,,,,,,
147,4910.9,13,578,610,,,,,,,,,,,,,,,
148,4945.4,12,577,609,,,,,,,,,,,,,,,
149,4975.5,12,578,608,,,,,,,,,,,,,,,
150,5011.1,12,577,609,,,,,,,,,,,,,,,
151,5043.3,10,577,608,,,,,,,,,,,,,,,
152,5075.2,12,578,608,,,,,,,,,,,,,,,
153,5110.9,12,579,609,,,,,,,,,,,,,,,
154,5145.4,9,582,608,,,,,,,,,,,,,,,
155,5175.1,7,582,606,,,,,,,,,,,,,,,
156,5210.8,7,585,606,,,,,,,,,,,,,,,
185,6175.0,7,576,606,,,,,,,,,,,,,,,
186,6211.4,7,577,606,,,,,,,,,,,,,,,
191,6375.3,6,585,607,,,,,,,,,,,,,,,
193,6443.4,6,584,605,,,,,,,,,,,,,,,
