frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
81,2710.0,,,,,,,,,,15,637,600,,,,,,,,,,,,,,,
82,2741.7,,,,,,,,,,15,637,601,,,,,,,,,,,,,,,
83,2773.4,,,,,,,,,,13,638,597,,,,,,,,,,,,,,,
84,2809.0,,,,,,,,,,14,638,599,,,,,,,,,,,,,,,
85,2841.3,,,,,,,,,,14,638,597,,,,,,,,,,,,,,,
86,2873.2,,,,,,,,,,13,637,597,,,,,,,,,,,,,,,
87,2908.9,,,,,,,,,,14,637,598,,,,,,,,,,,,,,,
88,2941.3,,,,,,,,,,13,637,596,,,,,,,,,,,,,,,
89,2973.1,,,,,,,,,,12,637,595,,,,,,,,,,,,,,,
90,3009.1,,,,,,,,,,12,638,596,,,,,,,,,,,,,,,
91,3041.3,,,,,,,,,,13,639,597,,,,,,,,,,,,,,,
92,3073.1,,,,,,,,,,10,642,594,,,,,,,,,,,,,,,
93,3108.9,,,,,,,,,,14,636,599,,,,,,,,,,,,,,,
94,3141.2,,,,,,,,,,13,638,598,,,,,,,,,,,,,,,
95,3173.5,,,,,,,,,,15,636,600,,,,,,,,,,,,,,,
96,3209.0,,,,,,,,,,14,637,600,,,,,,,,,,,,,,,
97,3241.2,,,,,,,,,,12,638,598,,,,,,,,,,,,,,,
98,3273.2,,,,,,,,,,14,638,600,,,,,,,,,,,,,,,
99,3309.1,,,,,,,,,,13,637,600,,,,,,,,,,,,,,,
100,3341.1,,,,,,,,,,14,638,603,,,,,,,,,,,,,,,
101,3373.8,,,,,,,,,,14,637,603,,,,,,,,,,,,,,,
102,3409.5,,,,,,,,,,14,638,603,,,,,,,,,,,,,,,
103,3441.2,,,,,,,,,,14,637,604,,,,,,,,,,,,,,,
104,3473.4,,,,,,,,,,9,641,600,,,,,,,,,,,,,,,
105,3509.3,,,,,,,,,,15,637,604,,,,,,,,,,,,,,,
106,3545.4,,,,,,,,,,13,639,603,,,,,,,,,,,,,,,
107,3573.4,,,,,,,,,,13,637,603,,,,,,,,,,,,,,,
108,3609.2,,,,,,,,,,13,638,604,,,,,,,,,,,,,,,
109,3641.5,,,,,,,,,,13,638,605,,,,,,,,,,,,,,,
110,3674.5,,,,,,,,,,11,636,603,,,,,,,,,,,,,,,
111,3709.3,,,,,,,,,,10,637,602,,,,,,,,,,,,,,,
112,3742.0,,,,,,,,,,11,635,602,,,,,,,,,,,,,,,
113,3773.8,,,,,,,,,,13,634,603,,,,,,,,,,,,,,,
114,3809.1,,,,,,,,,,13,637,603,,,,,,,,,,,,,,,
115,3841.2,,,,,,,,,,12,638,601,,,,,,,,,,,,,,,
116,3873.4,,,,,,,,,,13,637,601,,,,,,,,,,,,,,,
117,3909.0,,,,,,,,,,13,639,600,,,,,,,,,,,,,,,
118,3941.5,,,,,,,,,,14,637,601,,,,,,,,,,,,,,,
119,3973.3,,,,,,,,,,13,637,601,,,,,,,,,,,,,,,
120,4009.3,,,,,,,,,,13,637,600,,,,,,,,,,,,,,,
121,4041.2,,,,,,,,,,12,636,598,,,,,,,,,,,,,,,
122,4073.8,,,,,,,,,,13,638,598,,,,,,,,,,,,,,,
123,4109.5,,,,,,,,,,14,638,601,,,,,,,,,,,,,,,
124,4141.5,,,,,,,,,,13,638,598,,,,,,,,,,,,,,,
125,4173.2,,,,,,,,,,12,638,596,,,,,,,,,,,,,,,
126,4208.8,,,,,,,,,,12,637,596,,,,,,,,,,,,,,,
127,4241.1,,,,,,,,,,13,638,598,,,,,,,,,,,,,,,
128,4273.7,,,,,,,,,,14,637,597,,,,,,,,,,,,,,,
129,4309.2,,,,,,,,,,12,637,596,,,,,,,,,,,,,,,
130,4341.0,,,,,,,,,,12,637,595,,,,,,,,,,,,,,,
131,4376.9,,,,,,,,,,13,638,596,,,,,,,,,,,,,,,
132,4408.9,,,,,,,,,,13,638,596,,,,,,,,,,,,,,,
133,4441.5,,,,,,,,,,12,636,596,,,,,,,,,,,,,,,
134,4473.1,,,,,,,,,,13,637,599,,,,,,,,,,,,,,,
135,4512.3,,,,,,,,,,11,637,596,,,,,,,,,,,,,,,
136,4541.5,,,,,,,,,,13,638,599,,,,,,,,,,,,,,,
137,4573.7,,,,,,,,,,11,637,596,,,,,,,,,,,,,,,
138,4611.3,,,,,,,,,,12,638,598,,,,,,,,,,,,,,,
139,4641.2,,,,,,,,,,11,636,597,,,,,,,,,,,,,,,
140,4673.5,,,,,,,,,,14,637,601,,,,,,,,,,,,,,,
141,4708.8,,,,,,,,,,13,637,601,,,,,,,,,,,,,,,
142,4741.1,,,,,,,,,,15,637,603,,,,,,,,,,,,,,,
143,4773.1,,,,,,,,,,11,640,600,,,,,,,,,,,,,,,
144,4809.0,,,,,,,,,,12,636,601,,,,,,,,,,,,,,,
145,4841.1,,,,,,,,,,11,640,601,,,,,,,,,,,,,,,
146,4873.8,,,,,,,,,,13,637,603,,,,,,,,,,,,,,,
147,4909.3,,,,,,,,,,14,637,605,,,,,,,,,,,,,,,
148,4941.5,,,,,,,,,,12,638,602,,,,,,,,,,,,,,,
149,4973.2,,,,,,,,,,8,643,602,,,,,,,,,,,,,,,
150,5008.9,,,,,,,,,,11,638,602,,,,,,,,,,,,,,,
151,5041.1,,,,,,,,,,13,637,604,,,,,,,,,,,,,,,
152,5073.2,,,,,,,,,,14,637,605,,,,,,,,,,,,,,,
153,5109.3,,,,,,,,,,14,638,603,,,,,,,,,,,,,,,
154,5141.1,,,,,,,,,,12,639,602,,,,,,,,,,,,,,,
155,5177.4,,,,,,,,,,13,639,602,,,,,,,,,,,,,,,
156,5209.1,,,,,,,,,,14,637,603,,,,,,,,,,,,,,,
157,5247.2,,,,,,,,,,14,639,602,,,,,,,,,,,,,,,
158,5277.4,,,,,,,,,,12,638,601,,,,,,,,,,,,,,,
159,5309.1,,,,,,,,,,13,638,600,,,,,,,,,,,,,,,
160,5341.0,,,,,,,,,,13,638,601,,,,,,,,,,,,,,,
161,5373.1,,,,,,,,,,13,638,600,,,,,,,,,,,,,,,
162,5409.0,,,,,,,,,,13,637,600,,,,,,,,,,,,,,,
163,5441.5,,,,,,,,,,13,638,600,,,,,,,,,,,,,,,
164,5473.2,,,,,,,,,,12,637,598,,,,,,,,,,,,,,,
165,5509.1,,,,,,,,,,13,637,599,,,,,,,,,,,,,,,
166,5541.1,,,,,,,,,,12,637,596,,,,,,,,,,,,,,,
167,5577.5,,,,,,,,,,15,636,598,,,,,,,,,,,,,,,
168,5609.2,,,,,,,,,,15,636,599,,,,,,,,,,,,,,,
169,5646.2,,,,,,,,,,15,637,599,,,,,,,,,,,,,,,
170,5673.2,,,,,,,,,,14,637,597,,,,,,,,,,,,,,,
171,5708.8,,,,,,,,,,14,638,599,,,,,,,,,,,,,,,
172,5741.1,,,,,,,,,,15,637,599,,,,,,,,,,,,,,,
173,5773.2,,,,,,,,,,15,637,599,,,,,,,,,,,,,,,
174,5808.9,,,,,,,,,,14,638,598,,,,,,,,,,,,,,,
175,5841.2,,,,,,,,,,15,637,599,,,,,,,,,,,,,,,
176,5873.1,,,,,,,,,,15,637,599,,,,,,,,,,,,,,,
177,5909.1,,,,,,,,,,15,637,599,,,,,,,,,,,,,,,
178,5941.2,,,,,,,,,,14,637,600,,,,,,,,,,,,,,,
179,5973.5,,,,,,,,,,14,637,600,,,,,,,,,,,,,,,
180,6009.3,,,,,,,,,,15,637,601,,,,,,,,,,,,,,,
181,6041.4,,,,,,,,,,15,636,602,,,,,,,,,,,,,,,
182,6073.1,,,,,,,,,,15,637,603,,,,,,,,,,,,,,,
183,6109.0,,,,,,,,,,14,637,603,,,,,,,,,,,,,,,
184,6141.3,,,,,,,,,,15,637,604,,,,,,,,,,,,,,,
185,6173.1,,,,,,,,,,15,637,606,,,,,,,,,,,,,,,
186,6209.3,,,,,,,,,,16,637,606,,,,,,,,,,,,,,,
187,6241.6,,,,,,,,,,16,637,607,,,,,,,,,,,,,,,
188,6273.6,,,,,,,,,,16,637,607,,,,,,,,,,,,,,,
189,6309.0,,,,,,,,,,16,637,607,,,,,,,,,,,,,,,
190,6341.2,,,,,,,,,,16,638,607,,,,,,,,,,,,,,,
191,6373.2,,,,,,,,,,15,638,606,,,,,,,,,,,,,,,
192,6408.9,,,,,,,,,,16,637,608,,,,,,,,,,,,,,,
193,6441.2,,,,,,,,,,15,638,607,,,,,,,,,,,,,,,
194,6473.5,,,,,,,,,,16,636,607,,,,,,,,,,,,,,,
195,6508.9,,,,,,,,,,16,637,607,,,,,,,,,,,,,,,
196,6541.2,,,,,,,,,,17,637,609,,,,,,,,,,,,,,,
197,6573.5,,,,,,,,,,16,637,606,,,,,,,,,,,,,,,
198,6609.6,,,,,,,,,,16,636,605,,,,,,,,,,,,,,,
199,6641.5,,,,,,,,,,15,638,604,,,,,,,,,,,,,,,
200,6673.8,,,,,,,,,,16,637,605,,,,,,,,,,,,,,,
201,6709.2,,,,,,,,,,15,637,604,,,,,,,,,,,,,,,
202,6741.5,,,,,,,,,,16,637,605,,,,,,,,,,,,,,,
203,6773.6,,,,,,,,,,16,637,604,,,,,,,,,,,,,,,
204,6809.4,,,,,,,,,,15,637,604,,,,,,,,,,,,,,,
205,6841.5,,,,,,,,,,16,637,602,,,,,,,,,,,,,,,
206,6873.2,,,,,,,,,,16,637,602,,,,,,,,,,,,,,,
207,6909.3,,,,,,,,,,16,637,601,,,,,,,,,,,,,,,
208,6941.5,,,,,,,,,,16,637,601,,,,,,,,,,,,,,,
209,6973.1,,,,,,,,,,15,638,598,,,,,,,,,,,,,,,
210,7009.2,,,,,,,,,,14,638,600,,,,,,,,,,,,,,,
211,7041.4,,,,,,,,,,16,637,600,,,,,,,,,,,,,,,
212,7073.4,,,,,,,,,,15,638,600,,,,,,,,,,,,,,,
213,7109.2,,,,,,,,,,16,637,600,,,,,,,,,,,,,,,
214,7141.5,,,,,,,,,,14,639,599,,,,,,,,,,,,,,,
215,7173.6,,,,,,,,,,15,638,601,,,,,,,,,,,,,,,
216,7209.1,,,,,,,,,,15,638,600,,,,,,,,,,,,,,,
217,7241.6,,,,,,,,,,16,637,600,,,,,,,,,,,,,,,
218,7273.6,,,,,,,,,,14,639,598,,,,,,,,,,,,,,,
219,7309.0,,,,,,,,,,16,637,600,,,,,,,,,,,,,,,
220,7341.2,,,,,,,,,,16,636,601,,,,,,,,,,,,,,,
221,7373.4,,,,,,,,,,14,639,601,,,,,,,,,,,,,,,
222,7409.1,,,,,,,,,,16,637,604,,,,,,,,,,,,,,,
223,7441.1,,,,,,,,,,15,638,601,,,,,,,,,,,,,,,
224,7473.3,,,,,,,,,,15,637,603,,,,,,,,,,,,,,,
225,7509.3,,,,,,,,,,13,637,600,,,,,,,,,,,,,,,
226,7541.5,,,,,,,,,,13,638,599,,,,,,,,,,,,,,,
227,7573.4,,,,,,,,,,14,637,600,,,,,,,,,,,,,,,
228,7613.4,,,,,,,,,,14,637,598,,,,,,,,,,,,,,,
229,7641.5,,,,,,,,,,12,638,597,,,,,,,,,,,,,,,
230,7673.2,,,,,,,,,,12,639,597,,,,,,,,,,,,,,,
231,7709.4,,,,,,,,,,13,638,598,,,,,,,,,,,,,,,
232,7741.5,,,,,,,,,,12,640,597,,,,,,,,,,,,,,,
233,7775.7,,,,,,,,,,12,641,598,,,,,,,,,,,,,,,
234,7810.3,,,,,,,,,,12,645,598,,,,,,,,,,,,,,,
235,7841.6,,,,,,,,,,12,648,598,,,,,,,,,,,,,,,
236,7874.0,,,,,,,,,,11,653,598,,,,,,,,,,,,,,,
237,7909.2,,,,,,,,,,13,658,599,,,,,,,,,,,,,,,
238,7941.2,,,,,,,,,,13,663,601,,,,,,,,,,,,,,,
239,7973.2,,,,,,,,,,14,666,602,,,,,,,,,,,,,,,
240,8009.2,,,,,,,,,,12,671,600,,,,,,,,,,,,,,,
241,8041.7,,,,,,,,,,13,676,600,,,,,,,,,,,,,,,
242,8073.7,,,,,,,,,,13,679,602,,,,,,,,,,,,,,,
243,8109.1,,,,,,,,,,13,682,603,,,,,,,,,,,,,,,
244,8141.5,,,,,,,,,,13,687,602,,,,,,,,,,,,,,,
245,8173.6,,,,,,,,,,13,689,603,,,,,,,,,,,,,,,
246,8213.3,,,,,,,,,,14,692,603,,,,,,,,,,,,,,,
247,8241.3,,,,,,,,,,14,693,605,,,,,,,,,,,,,,,
248,8273.5,,,,,,,,,,12,696,604,,,,,,,,,,,,,,,
249,8308.9,,,,,,,,,,11,702,602,,,,,,,,,,,,,,,
250,8342.6,,,,,,,,,,13,703,603,,,,,,,,,,,,,,,
251,8377.5,,,,,,,,,,13,706,603,,,,,,,,,,,,,,,
252,8409.0,,,,,,,,,,13,712,603,,,,,,,,,,,,,,,
253,8441.2,,,,,,,,,,12,712,602,,,,,,,,,,,,,,,
254,8473.1,,,,,,,,,,14,716,604,,,,,,,,,,,,,,,
255,8509.2,,,,,,,,,,13,718,604,,,,,,,,,,,,,,,
256,8541.2,,,,,,,,,,13,720,603,,,,,,,,,,,,,,,
257,8573.5,,,,,,,,,,11,723,601,,,,,,,,,,,,,,,
258,8609.2,,,,,,,,,,12,724,602,,,,,,,,,,,,,,,
259,8641.1,,,,,,,,,,12,726,600,,,,,,,,,,,,,,,
260,8673.6,,,,,,,,,,13,729,601,,,,,,,,,,,,,,,
261,8709.2,,,,,,,,,,13,733,602,,,,,,,,,,,,,,,
262,8742.8,,,,,,,,,,13,734,601,,,,,,,,,,,,,,,
263,8773.3,,,,,,,,,,14,737,600,,,,,,,,,,,,,,,
264,8809.5,,,,,,,,,,12,738,597,,,,,,,,,,,,,,,
265,8841.9,,,,,,,,,,13,741,599,,,,,,,,,,,,,,,
266,8873.3,,,,,,,,,,12,741,598,,,,,,,,,,,,,,,
267,8908.9,,,,,,,,,,12,744,598,,,,,,,,,,,,,,,
268,8941.4,,,,,,,,,,13,748,600,,,,,,,,,,,,,,,
269,8973.1,,,,,,,,,,14,749,602,,,,,,,,,,,,,,,
270,9009.1,,,,,,,,,,9,755,596,,,,,,,,,,,,,,,
271,9041.7,,,,,,,,,,14,753,599,,,,,,,,,,,,,,,
272,9073.5,,,,,,,,,,13,753,598,,,,,,,,,,,,,,,
273,9109.2,,,,,,,,,,12,752,598,,,,,,,,,,,,,,,
274,9141.8,,,,,,,,,,14,753,599,,,,,,,,,,,,,,,
275,9173.3,,,,,,,,,,13,752,600,,,,,,,,,,,,,,,
276,9209.5,,,,,,,,,,13,753,601,,,,,,,,,,,,,,,
277,9241.3,,,,,,,,,,13,753,600,,,,,,,,,,,,,,,
278,9273.2,,,,,,,,,,12,753,600,,,,,,,,,,,,,,,
279,9309.2,,,,,,,,,,12,753,600,,,,,,,,,,,,,,,
280,9341.5,,,,,,,,,,13,755,601,,,,,,,,,,,,,,,
281,9373.2,,,,,,,,,,11,755,600,,,,,,,,,,,,,,,
282,9408.9,,,,,,,,,,11,754,602,,,,,,,,,,,,,,,
283,9441.3,,,,,,,,,,12,754,603,,,,,,,,,,,,,,,
284,9473.1,,,,,,,,,,11,754,600,,,,,,,,,,,,,,,
285,9509.1,,,,,,,,,,12,755,601,,,,,,,,,,,,,,,
286,9541.2,,,,,,,,,,14,755,603,,,,,,,,,,,,,,,
287,9573.5,,,,,,,,,,12,753,599,,,,,,,,,,,,,,,
288,9609.2,,,,,,,,,,12,752,600,,,,,,,,,,,,,,,
289,9641.2,,,,,,,,,,13,752,599,,,,,,,,,,,,,,,
290,9675.1,,,,,,,,,,13,752,601,,,,,,,,,,,,,,,
291,9709.1,,,,,,,,,,13,752,600,,,,,,,,,,,,,,,
292,9742.9,,,,,,,,,,13,750,599,,,,,,,,,,,,,,,
293,9773.2,,,,,,,,,,14,742,598,,,,,,,,,,,,,,,
294,9809.1,,,,,,,,,,14,725,598,,,,,,,,,,,,,,,
295,9842.0,,,,,,,,,,14,699,599,,,,,,,,,,,,,,,
296,9873.5,,,,,,,,,,15,667,601,,,,,,,,,,,,,,,
297,9910.0,,,,,,,,,,15,633,601,,,,,,,,,,,,,,,
298,9941.2,,,,,,,,,,14,600,601,,,,,,,,,,,,,,,
299,9973.2,,,,,,,,,,16,570,600,,,,,,,,,,,,,,,
300,10009.0,,,,,,,,,,16,547,600,,,,,,,,,,,,,,,
301,10041.3,,,,,,,,,,17,532,600,,,,,,,,,,,,,,,
302,10073.0,,,,,,,,,,18,527,601,,,,,,,,,,,,,,,
303,10109.1,,,,,,,,,,18,531,600,,,,,,,,,,,,,,,
304,10141.9,,,,,,,,,,17,546,600,,,,,,,,,,,,,,,
305,10173.8,,,,,,,,,,17,570,599,,,,,,,,,,,,,,,
306,10209.3,,,,,,,,,,17,600,599,,,,,,,,,,,,,,,
307,10241.1,,,,,,,,,,16,633,598,,,,,,,,,,,,,,,
308,10273.9,,,,,,,,,,16,667,597,,,,,,,,,,,,,,,
309,10309.3,,,,,,,,,,17,697,598,,,,,,,,,,,,,,,
310,10341.2,,,,,,,,,,17,722,596,,,,,,,,,,,,,,,
311,10374.2,,,,,,,,,,18,738,597,,,,,,,,,,,,,,,
312,10417.4,,,,,,,,,,18,746,596,,,,,,,,,,,,,,,
313,10441.8,,,,,,,,,,18,745,596,,,,,,,,,,,,,,,
314,10474.0,,,,,,,,,,17,732,594,,,,,,,,,,,,,,,
315,10509.1,,,,,,,,,,17,710,594,,,,,,,,,,,,,,,
316,10542.6,,,,,,,,,,16,683,594,,,,,,,,,,,,,,,
317,10573.2,,,,,,,,,,17,651,592,,,,,,,,,,,,,,,
318,10609.5,,,,,,,,,,17,618,592,,,,,,,,,,,,,,,
319,10641.1,,,,,,,,,,17,586,591,,,,,,,,,,,,,,,
320,10673.6,,,,,,,,,,17,559,589,,,,,,,,,,,,,,,
321,10709.1,,,,,,,,,,17,540,590,,,,,,,,,,,,,,,
322,10741.1,,,,,,,,,,18,528,588,,,,,,,,,,,,,,,
323,10773.2,,,,,,,,,,17,528,588,,,,,,,,,,,,,,,
324,10809.3,,,,,,,,,,17,538,586,,,,,,,,,,,,,,,
325,10841.1,,,,,,,,,,17,556,587,,,,,,,,,,,,,,,
326,10873.8,,,,,,,,,,16,582,585,,,,,,,,,,,,,,,
327,10909.0,,,,,,,,,,15,614,584,,,,,,,,,,,,,,,
328,10945.4,,,,,,,,,,17,647,584,,,,,,,,,,,,,,,
329,10973.2,,,,,,,,,,16,679,583,,,,,,,,,,,,,,,
330,11009.5,,,,,,,,,,16,707,582,,,,,,,,,,,,,,,
331,11041.2,,,,,,,,,,17,729,581,,,,,,,,,,,,,,,
332,11073.2,,,,,,,,,,17,742,581,,,,,,,,,,,,,,,
333,11109.5,,,,,,,,,,18,746,580,,,,,,,,,,,,,,,
334,11141.3,,,,,,,,,,16,739,580,,,,,,,,,,,,,,,
335,11173.2,,,,,,,,,,17,723,580,,,,,,,,,,,,,,,
336,11209.1,,,,,,,,,,16,698,580,,,,,,,,,,,,,,,
337,11241.1,,,,,,,,,,16,668,581,,,,,,,,,,,,,,,
338,11273.3,,,,,,,,,,16,636,582,,,,,,,,,,,,,,,
339,11309.2,,,,,,,,,,16,602,581,,,,,,,,,,,,,,,
340,11341.9,,,,,,,,,,16,573,580,,,,,,,,,,,,,,,
341,11373.2,,,,,,,,,,16,550,582,,,,,,,,,,,,,,,
342,11409.0,,,,,,,,,,16,534,582,,,,,,,,,,,,,,,
343,11441.0,,,,,,,,,,15,528,583,,,,,,,,,,,,,,,
344,11473.5,,,,,,,,,,16,531,581,,,,,,,,,,,,,,,
345,11509.1,,,,,,,,,,16,545,582,,,,,,,,,,,,,,,
346,11541.4,,,,,,,,,,15,569,584,,,,,,,,,,,,,,,
347,11573.4,,,,,,,,,,15,596,583,,,,,,,,,,,,,,,
348,11609.5,,,,,,,,,,14,628,584,,,,,,,,,,,,,,,
349,11641.0,,,,,,,,,,16,662,583,,,,,,,,,,,,,,,
350,11673.4,,,,,,,,,,13,692,585,,,,,,,,,,,,,,,
351,11708.9,,,,,,,,,,14,717,583,,,,,,,,,,,,,,,
352,11741.0,,,,,,,,,,15,735,583,,,,,,,,,,,,,,,
353,11773.3,,,,,,,,,,13,744,585,,,,,,,,,,,,,,,
354,11809.2,,,,,,,,,,16,742,583,,,,,,,,,,,,,,,
355,11841.1,,,,,,,,,,16,731,582,,,,,,,,,,,,,,,
356,11873.3,,,,,,,,,,14,711,583,,,,,,,,,,,,,,,
357,11909.4,,,,,,,,,,11,683,585,,,,,,,,,,,,,,,
358,11941.1,,,,,,,,,,13,653,583,,,,,,,,,,,,,,,
359,11974.0,,,,,,,,,,13,621,583,,,,,,,,,,,,,,,
360,12008.9,,,,,,,,,,13,590,583,,,,,,,,,,,,,,,
361,12041.2,,,,,,,,,,16,563,581,,,,,,,,,,,,,,,
362,12073.3,,,,,,,,,,15,541,580,,,,,,,,,,,,,,,
363,12109.1,,,,,,,,,,15,531,580,,,,,,,,,,,,,,,
364,12141.2,,,,,,,,,,13,529,579,,,,,,,,,,,,,,,
365,12173.1,,,,,,,,,,16,538,579,,,,,,,,,,,,,,,
